attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr40,attr41,attr42,attr43,attr44,attr45,attr46,attr47,attr48,attr49,attr50,attr51,attr52,attr53,attr54,attr55,attr56,attr57,attr58,attr59,attr60,attr61,attr62,attr63,attr64,class
0.17419,0.41299,0.14371,1.348,-28.982,0.60383,0.21946,1.1225,1.1961,0.46359,0.219461,0.53139,0.14233,0.219462,592.24,0.6163,2.4213,0.219463,0.12272,37.573,0.9969,0.2951,0.097402,0.75641,0.463591,0.50669,1.9737,0.32417,5.9473,0.22493,0.122721,100.82,3.6203,0.71453,0.29511,1.8079,123140,0.463592,0.16501,0.21282,0.041124,0.165011,95.682,58.109,0.94621,0.90221,44.941,0.26003,0.1454,1.3481,0.412991,0.27622,1.0457,1.0458,127280,0.16396,0.37574,0.83604,6.5269E-06,9.7145,6.2813,84.291,4.3303,4.0341,0
0.024526,0.43236,0.27546,1.7833,-10.105,0.56944,0.024526,1.3057,1.0509,0.56453,0.024526,0.069747,0.036812,0.024526,3299.4,0.11063,2.3129,0.024526,0.018876,86.317,0.62795,0.055446,0.018876,0.56944,0.56453,0.11063,0.44844,0.73869,4.26,0.28624,0.018876,103.81,3.5161,0.12824,0.055446,1.3068,3.9624,0.64524,0.042673,0.17826,0.1805,0.042673,158.55,72.237,0.079819,0.90954,90.707,0.032141,0.024737,1.4504,0.35164,0.2844,1.5139,1.7303,5012.6,0.048398,0.043445,0.9516,0.14298,4.2286,5.0528,98.783,3.695,3.4844,0
0.18829,0.41504,0.34231,1.9279,-58.274,0,0.23358,1.4094,1.3393,0.58496,0.23881,0.63317,0.1878,0.23358,602.31,0.606,2.4094,0.23358,0.17441,140.86,1.2039,0.23493,0.14059,0,0.5725,0.49687,44.947,1.1853,4.6033,0.30691,0.17784,122.09,2.9897,2.6574,0.23635,1.3393,4.549,0.62769,0.17648,0.013769,0.054712,0.17542,192.45,51.585,0.36429,0.52685,171.05,0.21699,0.16203,1.7136,0.36891,0.33449,2.0256,2.1735,13730,0.17648,0.32188,0.82635,0.073039,2.5912,7.0756,100.54,3.6303,4.6375,0
0.11503,0.036659,0.92345,112.63,55.58,0,0.14215,26.279,0.44339,0.96334,0.1435,17.183,0.32533,0.14215,92.759,3.9349,27.279,0.14215,0.32061,19.801,0.82872,0.082265,0.25943,10.573,0.96082,3.195,61.21,13.526,4.339,-0.055356,0.32222,7.2995,50.003,11.284,0.029724,0.44339,58.907,0.97875,0.067038,108.44,0.014485,0.18554,28.536,8.7355,4.7821,109.72,21.224,0.080169,0.18081,25.416,0.0082728,0.019999,14.11,14.336,20158,0.067038,0.1194,0.75777,0.015995,18.433,41.783,6.8102,53.596,6.4942,0
0.0098323,0.67066,0.13546,1.2393,-107.73,-0.0014006,0.013422,0.49108,1.1825,0.32934,0.055717,0.023711,0.047491,0.013422,4359.1,0.083733,1.4911,0.013422,0.011351,44.614,1.013,0.04612,0.0083151,0,0.3105,0.078381,1.0904,0.45384,5.9673,0.56717,0.011351,217.81,1.7455,1.4733,0.23389,1.1825,11.749,0.37675,0.1978,0.46285,0.25159,0.039003,135.67,91.058,0.068029,0.98398,53.392,0.0033856,0.0028632,1.046,0.56606,0.57291,1.1034,1.2622,1.2393,0.1978,0.029854,0.83478,0.14394,8.1813,4.0084,174.73,2.0889,3.9616,0
0.083519,0.40286,0.5838,2.694,35.966,0.63897,0.10728,1.4822,1.0475,0.59714,0.10728,0.31129,0.054553,0.10728,1155.2,0.31597,2.4822,0.10728,0.045977,56.105,0.69907,0.09811,0.035793,0.79947,0.59714,0.25699,0.44045,8.1573,3.8571,0.11417,0.045977,56.473,6.4633,0.24353,0.09811,2.3426,9.7852,0.65536,0.042046,0.40927,0.11213,0.042046,123.17,67.061,0.23286,1.6532,58.773,0.078099,0.03347,2.3046,0.34464,0.15472,8.3437,9.1573,4201,0.045381,0.13987,0.95462,0.09751,6.5056,5.4428,53.91,6.7706,32.604,0
0.083597,0.19199,0.1287,3.6396,105.17,0.26136,0.098854,4.2085,1.262,0.80801,0.098854,2.0274,0.29633,0.098854,659.63,0.55334,5.2085,0.098854,0.27573,45.981,0.96484,0.075537,0.23318,0.30662,0.80801,0.47388,2.6589,0.15647,5.1246,0.53541,0.27573,62.645,5.8265,0.39343,0.075537,0.38294,0.92361,0.95124,0.21069,0.056287,0.076122,0.21069,177.87,131.89,1.851,2.7133,58.027,0.068152,0.1901,0.92429,0.048758,0.17163,0.98233,1.1565,17148,0.2076,0.10346,0.7924,0.17727,7.9381,2.7674,49.64,7.3529,0.43586,0
0.081951,0.24608,0.31273,3.5654,29.45,0.011692,0.094949,3.0638,1.1117,0.75392,0.094949,0.77888,0.13768,0.094949,762.7,0.47856,4.0638,0.094949,0.11101,90.694,1.2354,0.090144,0.095813,0.024163,0.75392,0.42574,1.1717,0.55316,4.8684,0.2118,0.11101,57.834,6.3111,0.36632,0.090144,0.86431,1.7887,0.87809,0.10539,0.85355,0.071621,0.10539,141.07,50.38,0.3856,1.822,100.83,0.06733,0.078718,1.7663,0.12191,0.15845,1.3335,1.5532,23101,0.10051,0.1087,0.89949,0.1647,4.0245,7.2449,52.022,7.0163,1.5129,0
0.029986,0.79448,-0.014255,0.97797,-39.996,-0.1195,0.029986,0.21561,1.084,0.1713,0.029986,0.046331,0.046267,0.029986,6723.5,0.054287,1.2587,0.029986,0.032167,31.235,1.4875,0.04381,0.032167,-0.1195,0.1713,0.054287,0.50943,-0.038837,5.0929,0.85013,0.032167,274.69,1.3287,0.055144,0.04381,0.94078,3.7563,0.31857,0.046996,0.0031341,0.45861,0.046996,247.04,215.8,0.37588,0.85472,33.859,0.030666,0.032896,0.79669,0.64721,0.75259,0.46671,0.86793,-1765.4,0.077483,0.17505,0.92252,0.8597,11.686,1.6914,253.41,1.4403,2.5398,0
0.092539,0.15556,0.45342,4.2506,82.738,0.30143,0.11652,4.2779,1.091,0.66547,0.11652,0.83535,0.13948,0.11652,348.18,1.0483,6.4284,0.11652,0.099663,66.656,0.80316,0.11415,0.07915,0.3564,0.66547,0.89413,1.0652,1.1138,4.5369,-0.052424,0.099663,47.509,7.6828,0.73382,0.11415,1.2358,23.609,0.68154,0.097636,1.5855,0.031824,0.097636,116.06,49.399,0.43341,2.7199,72.721,0.067601,0.05782,3.8115,0.13949,0.13016,1.6347,1.6741,15611,0.083394,0.13906,0.91661,0.024148,5.4759,7.3888,43.547,8.3818,2.872,0
