id,Node,Utilised,'Packet,Full_Bandwidth,Average_Delay_Time_Per_Sec,Percentage_Of_Lost_Pcaket_Rate,Percentage_Of_Lost_Byte_Rate,Packet,of,Lost_Bandwidth,Packet,Packet_Transmitted,Packet_Received,Packet_lost,Transmitted_Byte,Received_Byte,10-Run-AVG-Drop-Rate,10-Run-AVG-Bandwith-Use,10-Run-Delay,NodeStatus,Flood,Class
1,3,0.822038,0.190381,1000,0.004815,19.031487,19.038129,0.809619,822.0375,177.9625,1440,90324,73128,17196,130066560,105304320,0.146594,0.780936,0.001838,B,0.023455,NB-No Block
2,9,0.275513,0.729111,100,0.004815,72.889036,72.911141,0.270889,27.55125,72.44875,1440,9048,2451,6598,13029120,3529440,0.517669,0.242451,0.002236,NB,0.460725,Block
3,3,0.923707,0.090383,900,0.000633,9.035834,9.038339,0.909617,831336,68664,1440,81276,73930,7346,117037440,106459200,0.058749,0.886758,0.001751,B,0,No Block
4,9,0.368775,0.63771,100,0.000552,63.737843,63.770999,0.36229,36.8775,63.1225,1440,9048,3278,5770,13029120,4720320,0.522922,0.324522,0.001776,NB,0.439255,Block
5,3,0.905217,0.10867,800,0.000497,10.864208,10.866977,0.89133,724.17375,75.82625,1440,72228,64379,7849,104008320,92705760,0.076069,0.869009,0.001767,B,0,No Block
6,9,0.514687,0.494142,100,0.003098,49.392131,49.414235,0.505858,51.46875,48.53125,1440,9048,4577,4471,13029120,6590880,0.405197,0.442631,0.00225,NB,0.291742,NB-No Block
7,3,0.912327,0.102633,700,0.000423,10.252196,10.263258,0.897367,638.628775,61.371225,1440,63284,56789,6495,91128960,81776160,0.08108,0.86671,0.001959,B,0,No Block
8,9,0.565425,0.444076,100,0.004677,44.3855,44.407604,0.555924,56.5425,43.4575,1440,9048,5030,4018,13029120,7243200,0.359702,0.508883,0.002365,P NB,0.122299,NB-No Block
9,9,928,0.086126,900,0.000623,8.610168,8.612629,0.913874,835.2,64.8,1440,81276,74276,7000,117037440,106957440,0.06804,0.89088,0.000583,B,0,No Block
10,9,0.55125,0.458002,100,0.005004,45.778073,45.800177,0.541998,55125,44875,1440,9048,4904,4144,13029120,7061760,0.325181,0.4851,0.002435,P NB,0.120317,NB-No Block
11,3,0.859478,0.153514,500,0.000443,15.344782,15.351421,0.846486,429.73875,70.26125,1440,45188,38251,6937,65070720,55081440,0.108995,0.850883,0.002242,B,0,No Block
12,9,0.53145,0.477896,100,0.000866,47.75641,47.789567,0.522104,53145,46855,1440,9048,4724,4324,13029120,6802560,0.396653,0.451733,0.002294,P NB,0.126929,NB-No Block
13,3,0.820097,0.192972,400,0.000469,19.280576,19.297178,0.807028,328.03875,71.96125,1440,36140,29166,6974,52041600,41999040,0.140869,0.811896,0.00226,B,0.005635,NB-No Block
14,9,0.577238,0.432471,100,0.004838,43.225022,43.247126,0.567529,57.72375,42.27625,1440,9048,5135,3913,13029120,7394400,0.315704,0.496424,0.002764,P NB,0.123125,NB-Wait
15,3,0.87525,0.138362,600,0.000428,13.825114,13.836188,0.861638,525.15,74.85,1440,54184,46687,7497,78024960,67229280,0.101004,0.857745,0.001901,B,0,No Block
16,9,0.538875,0.47027,100,0.004078,47.004863,47.026967,0.52973,53.8875,46.1125,1440,9048,4793,4255,13029120,6901920,0.352702,0.463433,0.002281,P NB,0.102284,NB-No Block
17,3,0.684394,0.327255,200,0.000493,32.692308,32.725464,0.672745,136.87875,63.12125,1440,18096,12174,5922,26058240,17530560,0.265076,0.657018,0.001902,B,0.021206,NB-No Block
