id,Node,Utilised,'Packet,Full_Bandwidth,Average_Delay_Time_Per_Sec,Percentage_Of_Lost_Pcaket_Rate,Percentage_Of_Lost_Byte_Rate,Packet,of,Lost_Bandwidth,Packet.1,Packet_Transmitted,Packet_Received,Packet_lost,Transmitted_Byte,Received_Byte,10-Run-AVG-Drop-Rate,10-Run-AVG-Bandwith-Use,10-Run-Delay,NodeStatus,Flood,Class
1,3,46.6238561,0.18839794999999998,1000,0.00499545,18.83735685,18.839817699999998,0.81160205,41592.9736875,32352.412437500003,1440,90324,73397.0,18538.5,130066560,150010008.0,0.14499374999999998,0.7883521499999999,0.0019796500000000003,B,0.02833695,NB-No Block
2,9,46.6238561,0.73384835,100,0.00499545,73.38236405,73.3848241,0.26615164999999996,41592.9736875,32352.412437500003,1440,9048,6185.0,6838.1,13029120,52356296.0,0.48997274999999996,0.24153694999999997,0.00242955,NB,0.48172815,Block
3,3,46.6238561,0.12021664999999998,900,0.00064755,12.01923095,12.0216919,0.87978335,789770.5775625,96972.6848125,1440,81276,73397.0,6838.1,117037440,150010008.0,0.08749725,0.85670405,0.00152975,B,0.02833695,No Block
4,9,46.6238561,0.66566705,100,0.00064755,66.56423815,66.5666983,0.33433294999999996,41592.9736875,32352.412437500003,1440,9048,6185.0,6838.1,13029120,52356296.0,0.54746925,0.30988885,0.0019796500000000003,NB,0.42505424999999997,Block
5,3,46.6238561,0.12021664999999998,800,0.00064755,12.01923095,12.0216919,0.87978335,41592.9736875,32352.412437500003,1440,72228,65929.0,6838.1,104008320,52356296.0,0.08749725,0.85670405,0.0019796500000000003,B,0.02833695,No Block
6,9,46.6238561,0.46112315,100,0.0030630500000000003,46.10986045,46.1123209,0.53887685,41592.9736875,32352.412437500003,1440,9048,6185.0,6838.1,13029120,52356296.0,0.4324762499999999,0.44659265,0.00242955,NB,0.31170644999999997,NB-No Block
7,3,46.6238561,0.12021664999999998,700,0.00064755,12.01923095,12.0216919,0.87978335,41592.9736875,32352.412437500003,1440,63284,58461.0,6838.1,91128960,52356296.0,0.08749725,0.85670405,0.0019796500000000003,B,0.02833695,No Block
8,9,46.6238561,0.46112315,100,0.00451235,46.10986045,46.1123209,0.53887685,41592.9736875,32352.412437500003,1440,9048,6185.0,6838.1,13029120,52356296.0,0.37497974999999995,0.5149445500000001,0.00242955,P NB,0.14168475,NB-No Block
9,9,881.6117819000001,0.12021664999999998,900,0.00064755,12.01923095,12.0216919,0.87978335,41592.9736875,32352.412437500003,1440,81276,73397.0,6838.1,117037440,150010008.0,0.08749725,0.85670405,0.00062995,B,0.02833695,No Block
10,9,46.6238561,0.46112315,100,0.00499545,46.10986045,46.1123209,0.53887685,41592.9736875,32352.412437500003,1440,9048,6185.0,6838.1,13029120,52356296.0,0.31748325,0.5149445500000001,0.00242955,P NB,0.14168475,NB-No Block
