A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,digit
45.0,95.0,25.0,85.0,55.0,35.0,25.0,5.0,5.0,25.0,55.0,55.0,95.0,85.0,35.0,95.0,8
5.0,85.0,25.0,95.0,45.0,75.0,25.0,45.0,15.0,15.0,35.0,5.0,65.0,5.0,95.0,5.0,2
5.0,55.0,35.0,65.0,75.0,85.0,95.0,95.0,75.0,75.0,45.0,55.0,25.0,25.0,15.0,5.0,1
5.0,95.0,5.0,95.0,5.0,65.0,15.0,45.0,85.0,35.0,95.0,45.0,75.0,25.0,65.0,5.0,4
5.0,65.0,45.0,85.0,95.0,95.0,85.0,75.0,55.0,55.0,35.0,35.0,35.0,15.0,45.0,5.0,1
95.0,95.0,85.0,95.0,45.0,75.0,15.0,45.0,5.0,15.0,35.0,5.0,75.0,15.0,15.0,15.0,6
5.0,95.0,5.0,75.0,25.0,35.0,85.0,35.0,95.0,75.0,75.0,95.0,65.0,45.0,65.0,5.0,4
5.0,35.0,5.0,65.0,15.0,5.0,65.0,5.0,95.0,45.0,85.0,95.0,35.0,95.0,5.0,55.0,0
15.0,85.0,15.0,45.0,75.0,35.0,55.0,5.0,5.0,15.0,5.0,65.0,35.0,95.0,95.0,95.0,5
55.0,95.0,25.0,75.0,5.0,35.0,25.0,5.0,75.0,15.0,95.0,45.0,75.0,85.0,25.0,85.0,0
75.0,85.0,35.0,95.0,5.0,65.0,65.0,65.0,95.0,75.0,95.0,35.0,85.0,5.0,15.0,5.0,9
45.0,95.0,65.0,65.0,85.0,25.0,25.0,5.0,25.0,35.0,75.0,65.0,95.0,95.0,5.0,85.0,8
95.0,95.0,75.0,95.0,35.0,75.0,35.0,55.0,75.0,45.0,65.0,15.0,15.0,5.0,5.0,5.0,5
95.0,75.0,55.0,95.0,5.0,85.0,25.0,55.0,85.0,65.0,95.0,35.0,75.0,5.0,25.0,5.0,9
5.0,85.0,35.0,95.0,85.0,85.0,85.0,45.0,85.0,15.0,55.0,5.0,55.0,25.0,95.0,25.0,7
35.0,75.0,55.0,95.0,95.0,95.0,65.0,65.0,85.0,35.0,85.0,5.0,35.0,5.0,5.0,15.0,3
45.0,85.0,65.0,95.0,75.0,75.0,55.0,55.0,95.0,45.0,95.0,15.0,45.0,5.0,5.0,5.0,3
95.0,75.0,65.0,95.0,25.0,75.0,75.0,65.0,95.0,65.0,95.0,25.0,55.0,5.0,5.0,15.0,9
25.0,65.0,45.0,95.0,55.0,65.0,35.0,25.0,5.0,5.0,15.0,15.0,55.0,5.0,95.0,5.0,2
5.0,75.0,15.0,95.0,75.0,95.0,65.0,75.0,35.0,45.0,5.0,15.0,45.0,5.0,95.0,5.0,2
15.0,75.0,15.0,65.0,75.0,35.0,45.0,5.0,5.0,15.0,5.0,65.0,25.0,95.0,95.0,95.0,5
5.0,45.0,45.0,65.0,75.0,85.0,95.0,95.0,95.0,75.0,85.0,45.0,75.0,25.0,85.0,5.0,1
5.0,85.0,35.0,65.0,65.0,35.0,35.0,5.0,5.0,25.0,5.0,65.0,35.0,95.0,95.0,95.0,5
75.0,65.0,55.0,95.0,5.0,75.0,85.0,35.0,95.0,5.0,15.0,15.0,55.0,55.0,85.0,95.0,8
55.0,95.0,35.0,75.0,5.0,45.0,5.0,15.0,65.0,5.0,95.0,25.0,45.0,45.0,35.0,25.0,6
15.0,95.0,5.0,65.0,15.0,45.0,85.0,45.0,95.0,65.0,75.0,65.0,75.0,35.0,65.0,5.0,4
35.0,95.0,5.0,85.0,5.0,35.0,25.0,5.0,75.0,5.0,95.0,45.0,85.0,85.0,35.0,95.0,0
45.0,95.0,5.0,85.0,35.0,65.0,95.0,75.0,75.0,85.0,45.0,55.0,25.0,25.0,5.0,5.0,4
65.0,55.0,55.0,95.0,5.0,85.0,45.0,45.0,75.0,5.0,5.0,5.0,35.0,45.0,95.0,65.0,8
95.0,85.0,35.0,95.0,5.0,85.0,5.0,65.0,15.0,55.0,15.0,35.0,5.0,15.0,5.0,5.0,1
35.0,55.0,55.0,95.0,95.0,95.0,75.0,45.0,45.0,5.0,95.0,15.0,55.0,55.0,5.0,65.0,8
35.0,95.0,55.0,65.0,75.0,25.0,35.0,5.0,5.0,25.0,5.0,75.0,45.0,95.0,95.0,95.0,5
5.0,95.0,35.0,95.0,75.0,85.0,65.0,45.0,55.0,5.0,25.0,25.0,45.0,35.0,95.0,35.0,7
25.0,75.0,5.0,45.0,15.0,5.0,65.0,5.0,95.0,35.0,95.0,85.0,45.0,95.0,5.0,75.0,0
5.0,5.0,35.0,15.0,65.0,25.0,85.0,55.0,95.0,75.0,85.0,95.0,55.0,85.0,75.0,65.0,9
25.0,85.0,65.0,95.0,75.0,75.0,55.0,45.0,75.0,35.0,95.0,15.0,55.0,5.0,5.0,5.0,3
